Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
Elk Grove Township Day Care Center,,,,5dfaa4eee79c695b3b30ddf1,Annette Capuani,711 Chelmsford Lane,Elk Grove Village,IL,60007,US,egtdcc@aol.com,847-439-5577,,2/6/2018,2/6/2020,2/19/2016,2/19/2020,Cook,162,6,12,M-F,6:30-6:00,Accredited Program,,accredited_program,10-Jan-05
Skip-a-Long Milan Campus 1,,,,5dfaa4eee79c695b3b30ddf2,Annie Howser,1800 W. 1st St.,Milan,IL,61264,US,annieh@skip-a-long.org,309-787-6303,www.salfcs.org,8/17/2018,8/17/2020,8/23/2016,8/23/2020,Rock Island,129,7,26,M-F,5:45- 5:30,Accredited Program,,accredited_program,19-Nov-10
KinderCare Learning Center #301513,,,,5dfaa4eee79c695b3b30ddf3,Antoinette Holland,5209 Tampa Palms Blvd.,Tampa,FL,33647,US,301513@kindercare.com;aholland@kindercare.com,813-972-0907,www.kindercare.com/,12/18/2017,12/18/2019,12/12/2019,12/12/2023,Hillsborough,142,7,10,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
April Chapman,,,,5dfaa4eee79c695b3b30ddf4,Academy of North Palm Beach,2526 Richard Road,West Palm Beach,FL,33403,US,info@academynpb.com,561-842-5511,,4/8/2017,4/8/2019,1/7/2019,1/7/2023,Palm Beach,99,4,12,M-F,7:15-5:45,Accredited Program,,accredited_program,21-Jan-09
Kids R Kids #6 FL,,,,5dfaa4eee79c695b3b30ddf5,April Hetrick,9802 Westchase Drive,Tampa,FL,33626,US,kidsrkids@verizon.net,813-926-5437,krkwestchase.com,6/21/2019,6/21/2021,6/22/2017,6/22/2021,Hillsborough,290,13,40,M-F,6:30 - 6:30,Accredited Program,,accredited_program,28-May-10
KinderCare Learning Center #301217,,,,5dfaa4eee79c695b3b30ddf6,April Savage,12000 Sawgrass Village Drive,Ponte Vedra Beach,FL,32082,US,301217@kindercare.com,904-285-9054,www.kindercare.com/,11/16/2018,11/16/2020,11/16/2016,11/16/2020,St. Johns,135,7,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,1-Nov-04
Milestones Early Educational Community,,,,5dfaa4efe79c695b3b30ddf7,Arnie Swoboda,2516 Hils Court,Menomonie,WI,54751,US,arnie@reachingmilestones.org,715-235-3875,,12/5/2017,12/5/2019,12/3/2019,12/3/2023,Dunn,64,8,25,M-F,6:00-6:00,Accredited Program,,accredited_program,4-Jan-11
Minnieland Academy at Doc Stone,,,,5dfaa4efe79c695b3b30ddf8,Ashlee Schneider,"95 Dunn Drive, Ste. 101",Stafford Courthouse,VA,22556,US,dir.docstone@minnieland.com;docstone@minnieland.com,540-628-4999,aschneider@minnieland.com,8/27/2019,8/27/2021,9/19/2017,9/19/2021,Stafford,157,8,24,M-F,5:30 - 7:00,Accredited Program,,accredited_program,16-Dec-14
KinderCare Learning Center #000897,,,,5dfaa4efe79c695b3b30ddf9,Ashley Burgermeister,650 W. Wise Road,Schaumburg,IL,60193,US,000897@klcorp.com,847-895-1950,,7/27/2018,7/27/2020,7/25/2016,7/25/2020,Cook,145,7,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,5-Mar-08
KinderCare Learning Center #300843,,,,5dfaa4efe79c695b3b30ddfa,Ashley Chavez,937 Balcones Drive,College Station,TX,77840,US,300843@klcorp.com,979-696-9062,www.kindercare.com/,6/21/2017,6/21/2019,5/14/2019,5/14/2023,Brazos,109,7,14,M-F,6:00 - 6:00,Accredited Program,,accredited_program,1-Aug-05
University of Texas CDC,,,,5dfaa4efe79c695b3b30ddfb,Ashley Eglian,1507 Lavaca St.,Austin,TX,78701,US,ashley.eglian@austin.utexas.edu;hara.cootes@austin.utexas.edu,512-471-4400,www.childcenter.utexas.edu,1/17/2019,1/17/2021,1/20/2017,1/20/2021,Travis,126,8,35,M-F,7:00 - 6:00,Accredited Program,,accredited_program,16-Mar-16
Hillcrest Christian Early Learning Center,,,,5dfaa4efe79c695b3b30ddfc,Ashley Franchett,11411 Quivira Road,Overland Park,KS,66210,US,ashley@hcckc.org,913-663-1997,www.hillcrestchristianelc.org,6/5/2017,6/5/2019,4/24/2019,4/24/2023,Johnson,162,9,20,M-F,7:00 - 6:00,Accredited Program,,accredited_program,20-Jan-14
KinderCare Learning Center #300934,,,,5dfaa4efe79c695b3b30ddfd,Ashley Groden,151 Sagebrush Trail,Ormond Beach,FL,32174,US,300934@kindercare.com;agroden@kindercare.com,386-673-4740,www.kindercare.com/,6/6/2018,6/6/2020,6/7/2016,6/7/2020,Volusia,99,6,6,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
Kids N' Care LTD,,,,5dfaa4efe79c695b3b30ddfe,Ashley Juarez,6901 S. 20th St.,Oak Creek,WI,53154,US,kidsncare@gmail.com,414-628-0179,www.mykidsncare.com,9/12/2018,9/12/2020,8/30/2016,8/30/2020,Milwaukee,123,4,8,M-F,6:00 - 6:00,Accredited Program,,accredited_program,11-May-15
"Stacey's Swingers Preschool, Inc.",,,,5dfaa4efe79c695b3b30ddff,Ashley Kelly,14130 N. Hwy. 77,Southport,FL,32409,US,staceysswingersp@bellsouth.net,850-271-1248,,1/23/2019,1/23/2021,2/27/2017,2/27/2021,Bay,57,2,3,M-F,6:30 - 6:00,Accredited Program,,accredited_program,29-May-09
KinderCare Learning Center #300124,,,,5dfaa4efe79c695b3b30de00,Ashley Noble,1111 E. Stroop Road,Dayton,OH,45429,US,300124@klcorp.com,937-293-1067,www.kindercare.com/,6/18/2018,6/18/2020,6/20/2016,6/20/2020,Montgomery,107,6,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,4-Mar-05
KinderCare Learning Center #301363,,,,5dfaa4efe79c695b3b30de01,Ashley Riedel,3129 Poplarwood Court,Raleigh,NC,27604,US,301363@kindercare.com;ariedel@kindercare.com,919-850-0234,www.kindercare.com/,11/16/2019,11/16/2021,11/16/2017,11/16/2021,Wake,135,7,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,13-Mar-08
Child and Family Centers of Excellence Inc.,,,,5dfaa4efe79c695b3b30de02,Ashley Schweiger,N4 W22000 Bluemound Road,Waukesha,WI,53186,US,ashleys@excellencecenters.com,262-548-8080,www.childandfamilycenters.com,11/29/2018,11/29/2020,11/29/2016,11/29/2020,Waukesha,265,9,31,M-F,6:00 - 6:00,Accredited Program,,accredited_program,30-Apr-11
KinderCare Learning Center #000730,,,,5dfaa4efe79c695b3b30de03,Ashley Strong,2325 Country Road 90,Pearland,TX,77584,US,000730@kindercare.com,281-485-8667,www.kindercare.com/,8/11/2017,8/11/2019,8/28/2019,8/28/2023,Brazoria,130,5,6,M-F,6:00 - 6:30,Accredited Program,,accredited_program,15-Aug-13
"O2B Kids 7, LLC",,,,5dfaa4efe79c695b3b30de04,Ashley Stuhlman,1821 Town Center Blvd.,Fleming Island,FL,32003,US,ashleys@o2bkids.com,904-264-4202,www.o2bkids.com,7/11/2019,7/11/2021,12/27/2019,12/27/2023,Clay,337,21,46,M-F,6:30 - 8:00,Accredited Program,,accredited_program,6-Jul-07
KinderCare Learning Center #000091,,,,5dfaa4efe79c695b3b30de05,Ashley Venegas,43083 Waxpool Road,Ashburn,VA,20148,US,000091@kindercare.com,703-858-4787,www.kindercare.com,11/23/2016,11/23/2018,4/9/2019,4/9/2023,Loudoun,153,7,22,M-F,6:30 - 6:30,Accredited Program,,accredited_program,15-Jul-09
KinderCare Learning Center #000063,,,,5dfaa4efe79c695b3b30de06,Ashlynn Snelling,937 Bunker Hill,Houston,TX,77024,US,000063@klcorp.com,713-464-1625,www.kindercare.com,12/29/2018,12/29/2020,12/28/2016,12/28/2020,Harris,122,6,,M-F,6:30 - 6:30,Accredited Program,,accredited_program,6-Feb-14
KinderCare Learning Center #000535,,,,5dfaa4efe79c695b3b30de07,Audri Johnson,139 N. Stygler Road,Gahanna,OH,43230,US,000535@kindercare.com;aujohnson@kindercare.com,614-471-2000,www.kindercare.com/,1/12/2018,1/12/2020,1/12/2016,1/12/2020,Franklin,81,5,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,31-Jan-08
Daydreams Child Development Center DBA Kid City USA Apopka,,,,5dfaa4efe79c695b3b30de08,Autumn Redman,204 S. Central Ave.,Apopka,FL,32703,US,apopka@kidcityusa.com,407-814-0444,,2/27/2018,2/27/2020,2/24/2016,2/24/2020,Orange,87,9,10,M-F,7:00 - 6:00,Accredited Program,,accredited_program,2-Mar-05
Children's Academy,,,,5dfaa4efe79c695b3b30de09,Baldwin Sterling,506 Limona Road,Brandon,FL,33510,US,baldwin.sterling@verizon.net,813-689-6820,www.childrensacademybrandon.com,6/18/2018,6/18/2020,6/21/2016,6/21/2020,Hillsborough,165,13,24,M-F,6:30-6:00,Accredited Program,,accredited_program,
Children's Academy Fishhawk,,,,5dfaa4efe79c695b3b30de0a,Baldwin Sterling,10560 Browning Road,Lithia,FL,33547,US,baldwin.sterling@verizon.net,813-689-6819,www.childrensacademyfishhawk.com,1/31/2018,1/31/2020,12/13/2018,12/13/2022,Hillsborough,174,5,9,M-F,6:00 - 6:00,Accredited Program,,accredited_program,7-Feb-18
RCMA Dade City Learning Center,,,,5dfaa4efe79c695b3b30de0b,Ma De Jesus Bautista and Aurora Rodriguez,15048 14th St.,Dade City,FL,33523,US,ma@rcma.org;aurorar@rcma.org,(352)523-6903,rcma.org/,3/16/2018,3/16/2020,4/7/2016,4/7/2020,Pasco,98,4,12,M-F,7:30 - 5:30,Accredited Program,,accredited_program,6-Oct-10
"Alpha School for Young Children, Inc.",,,,5dfaa4efe79c695b3b30de0c,Barbara DeDera,"1205 E. Madrid Ave., Las Cruces, NM",Las Cruces,NM,88001,US,alphaschool@zianet.com,575-527-1313,www.alphaschoolinc.com,8/26/2016,8/26/2018,6/11/2018,6/11/2022,Dona Ana,118,7,32,M-F,7:00 - 6:00,Accredited Program,,accredited_program,24-May-07
Alverno Early Learning Center,,,,5dfaa4efe79c695b3b30de0d,Barbara Groshek,3401 S. 39th St.,Milwaukee,WI,53215,US,barbara.groshek@alverno.edu,414-382-6076,www.alverno.edu,9/21/2017,9/21/2019,4/24/2019,4/24/2023,Milwaukee,122,10,21,M-F,7:00 - 5:30,Accredited Program,,accredited_program,10-Aug-10
KinderCare Learning Center #301159,,,,5dfaa4efe79c695b3b30de0e,Barbara Householder,6477 Centennial Drive,Reynoldsburg,OH,43068,US,301159@kindercare.com,614-866-3750,www.kindercare.com/,11/21/2019,11/21/2021,11/21/2017,11/21/2021,Franklin,123,7,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,1-Dec-03
KinderCare Learning Center #300274,,,,5dfaa4efe79c695b3b30de0f,Barbara Kehr,6923 Enid Court,El Paso,TX,79912,US,300274@klcorp.com;bkehr@klcorp.com,915-581-5628,www.kindercare.com/,2/19/2018,2/19/2020,12/26/2019,12/26/2023,El Paso,100,6,15,M-F,6:00 - 6:30,Accredited Program,,accredited_program,1-Aug-05
Cohn Early Childhood Learning Center at the Levite Jewish Community Center,,,,5dfaa4efe79c695b3b30de10,Barbara Traweek,3960 Montclair Road,Birmingham,AL,35213,US,btraweek@bhamjcc.org,205-510-9011,www.bhamjcc.org,1/4/2016,1/4/2018,4/30/2018,4/30/2022,Jefferson,202,17,41,M-F,7:00-6:00,Accredited Program,,accredited_program,13-Jan-16
Park Lake Presbyterian Church Child Care Center,,,,5dfaa4efe79c695b3b30de11,Barbara Twachtman,309 E. Colonial Drive,Orlando,FL,32801,US,plpccc@earthlink.net,407-422-4575,www.plpccc.com,10/15/2018,10/15/2020,10/18/2016,10/18/2020,Orange,220,6,25,M-F,7:00 - 6:00,Accredited Program,,accredited_program,27-Oct-08
Fun Time Early Childhood Academy Inc,,,,5dfaa4f0e79c695b3b30de12,Barbara Tyrrell,102 12th St. N.,Naples,FL,34102,US,btyrrell@funtimeacademy.org,239-261-8284,funtimeacademy.org,10/26/2018,10/26/2020,11/3/2016,11/3/2020,Collier,96,6,20,M-F,6:30 - 5:30,Accredited Program,,accredited_program,19-Aug-08
The Eastside Preschool,,,,5dfaa4f0e79c695b3b30de13,Barbra Christofferson,1650 East 3300 South,Salt Lake City,UT,84106,US,eastside@childtimeinc.com,801 467-2888,www.childtimeinc.com,4/24/2017,4/24/2019,5/2/2019,5/2/2023,Salt Lake,109,6,11,M-F,7:30 - 6:00,Accredited Program,,accredited_program,17-Jul-14
Precious People Learning Center,,,,5dfaa4f0e79c695b3b30de14,Barbra Mastrota,130 Riviere Road,Palm Harbor,FL,34683,US,barbramastrota@preciouspeople98.com,727-786-1094,www.preciouspeoplelearningcenter.com,7/29/2016,7/29/2018,3/9/2018,3/9/2022,Pinellas,144,12,28,M-F,7:00 - 6:00,Accredited Program,,accredited_program,26-May-09
"Bee Balm Learning Center, LLC",,,,5dfaa4f0e79c695b3b30de15,Bekah Barrales,1650 Norman Way,Madison,WI,53705,US,bekahb@beebalmlc.com,608-233-8855,,4/10/2017,4/10/2019,8/28/2018,8/28/2022,Dane,81,8,23,M-F,6:30 - 6:00,Accredited Program,,accredited_program,3-May-10
KinderCare Learning Center #072108,,,,5dfaa4f0e79c695b3b30de16,Berkley Matsuda,5080 Spectrum Drive #120W,Addison,TX,75001,US,072108@klcorp.com;bmatsuda@kindercare.com,972 980-2858,kindercare.com,2/1/2018,2/1/2020,2/19/2016,2/19/2020,Dallas,128,7,15,M-F,7:00 - 6:00,Accredited Program,,accredited_program,4-Jun-14
Discovery School of St. Cloud,,,,5dfaa4f0e79c695b3b30de17,Beth Howell,3101 Progress Lane,St. Cloud,FL,34769,US,bhowell@saintcloudprep.org,321-766-4142,,9/6/2016,9/6/2018,4/25/2018,4/25/2022,Osceola,39,4,7,M-F,7:00 - 6:00,Accredited Program,,accredited_program,6-Sep-16
"Toddle Town, Inc.",,,,5dfaa4f0e79c695b3b30de18,Beth Maloney,208 S. Jackson St.,Belleville,IL,62220,US,toddlerhouse@ymail.com,618-234-3832,bellevilledaycare.com,12/5/2018,12/5/2020,12/5/2016,12/5/2020,St. Clair,81,7,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,27-Sep-06
KinderCare Learning Center #301343,,,,5dfaa4f0e79c695b3b30de19,Betty Delgado,14387 SW 96th St.,Miami,FL,33186,US,301343@klcorp.com,305-388-9526,www.kindercare.com/,8/11/2017,8/11/2019,5/2/2019,5/2/2023,Dade,135,7,11,M-F,6:30 - 6:00,Accredited Program,,accredited_program,31-Jan-05
"Atkins Tender Loving Care, Inc.",,,,5dfaa4f0e79c695b3b30de1a,Bettye Atkins,1144 W. 10th St.,Riviera Beach,FL,33404,US,johnbettye@aol.com;atkinstlc10th@gmail.com,561-848-6753,www.atkinstlc.com,3/26/2018,3/26/2020,10/21/2019,10/21/2023,Palm Beach,60,4,6,M-F,6:30 - 5:30,Accredited Program,,accredited_program,5-Jul-07
Aldridge Early Learning Center,,,,5dfaa4f0e79c695b3b30de1b,Beverly Clark,489 27th Street,East Moline,IL,61244,US,bclark@aldridgecenter.com,309-755-5031,aldridgecenter.com,6/27/2016,6/27/2018,1/3/2018,1/3/2022,Rock Island,151,6,28,M-F,5:15 - 6:00,Accredited Program,,accredited_program,6-Mar-12
Montclair Early Learning Center,,,,5dfaa4f0e79c695b3b30de1c,Beverly Shaffer,1415 52nd St. S.,Birmingham,AL,35213,US,celc@me.com,205-591-6352,,12/26/2018,12/26/2020,12/30/2016,12/30/2020,Jefferson,90,7,20,M-F,7:00 - 6:00,Accredited Program,,accredited_program,17-Sep-15
Outer Limits School,,,,5dfaa4f0e79c695b3b30de1d,Bill Berk,3472 E. Ft. Lowell Road,Tucson,AZ,85716,US,bill@childrensendeavors.com,520-327-0844,,6/20/2016,6/20/2018,1/19/2018,1/19/2022,Pima,205,8,25,M-F,6:30 - 6:30,Accredited Program,,accredited_program,1-Aug-94
Westgate Children's Learning & Development Center,,,,5dfaa4f0e79c695b3b30de1e,Billinda Boldt,7450 Sandlake Commons Blvd.,Orlando,FL,32819,US,billinda_boldt@wgresorts.com;avalon_fontan@wgresorts.com,407-248-0129,www.westgatechildcare.com,6/27/2016,6/27/2018,2/1/2018,2/1/2022,Orange,138,8,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,23-May-05
Cadence Academy,,,,5dfaa4f0e79c695b3b30de1f,Blanche Van Dyck,13255 Noel Road,Dallas,TX,75240,US,director.galleria@cadence-academy.com,972-702-9063,,6/28/2019,6/28/2021,7/12/2017,7/12/2021,Dallas,165,11,24,M-F,7:00 - 6:30,Accredited Program,,accredited_program,23-Mar-15
Mayo Clinic Health System CDC,,,,5dfaa4f0e79c695b3b30de20,Bobbi Marion,540 Fulton St.,Eau Claire,WI,54703,US,bobbi.marion@mayo.edu,715-838-3524,,9/9/2019,9/9/2021,10/13/2017,10/13/2021,Eau Claire,186,12,38,M-F,5:30 - 6:30,Accredited Program,,accredited_program,8-Aug-06
"Gloria Ainsworth Child Care & Learning Center, Inc.",,,,5dfaa4f0e79c695b3b30de21,Bobbi Seals,"502 G. Street, N.E.",Ardmore,OK,73401,US,ainsworthdirector@cableone.net;bobbiseals@yahoo.com,580-226-3321,,2/1/2018,2/1/2020,2/4/2016,2/4/2020,Carter,255,14,40,M-F,5:30 - 6:00,Accredited Program,,accredited_program,6-Jan-15
"Heartland Kids Early Learning Center, Inc.",,,,5dfaa4f0e79c695b3b30de22,Bonnie Brackett and Kristina Cleaver,3902 W. Ernestine Drive,Marion,IL,62959,US,heartlandkids@gmail.com,618-997-7200,hlkids.com,1/12/2018,1/12/2020,1/26/2016,1/26/2020,Williamson,88,7,18,M-F,6:00 - 5:30,Accredited Program,,accredited_program,8-Feb-10
First Christian Church Child Care Center,,,,5dfaa4f0e79c695b3b30de23,Bonnie Miller,206 E. First St.,Edmond,OK,73034,US,bmiller@fccedmond.org,405-341-2626,www.fccedmond.org/child-care-center,8/9/2016,8/9/2018,1/29/2018,1/29/2022,Oklahoma,185,13,67,,6:45 - 6:00,Accredited Program,,accredited_program,5-Oct-05
KinderCare Learning Center #000297,,,,5dfaa4f0e79c695b3b30de24,Bonny Vogt,520 Morrison Road,Gahanna,OH,43230,US,000297@kindercare.com,614-471-3665,www.kindercare.com/,1/11/2018,1/11/2020,11/15/2019,11/15/2023,Franklin,144,7,17,M-F,6:00 - 6:00,Accredited Program,,accredited_program,10-Apr-08
Bright Beginnings Development Center,,,,5dfaa4f0e79c695b3b30de25,Brandy Harris,720 S Ranchwood Blvd,Yukon,OK,73099,US,brightbeginningsofyukon@yahoo.com,405-350-8788,,4/11/2018,4/11/2020,5/27/2019,5/27/2023,Canadian,141,8,21,M-F,6:00 - 6:00,Accredited Program,,accredited_program,
Teddy Bear Child Care,,,,5dfaa4f0e79c695b3b30de26,Brenda Luckett and Jennifer Luckett,5140 West Lisbon Ave.,Milwaukee,WI,53210,US,teddybearchildcarellc@gmail.com,414-449-2200,,10/14/2016,10/14/2018,10/16/2018,10/16/2022,Milwaukee,40,4,8,,6:00 - 6:00,Accredited Program,,accredited_program,27-Sep-07
Pace and Ross Learning Center,,,,5dfaa4f0e79c695b3b30de27,Brenda Pace,3922 S. Marsalis Ave.,Dallas,TX,75216,US,paceandross@sbcglobal.net,214-371-6206,,5/30/2017,5/30/2019,9/9/2019,9/9/2023,Dallas,103,5,9,M-F,6:00 - 6:00,Accredited Program,,accredited_program,9-Jul-14
Prime Time Children's & Youth Activity Center,,,,5dfaa4f0e79c695b3b30de28,Brenda Tyrrell,8816 Donald's Way,Owings,MD,20736,US,btyrr1@aol.com,301-855-2221,www.primetimechildrenscenter.com,6/24/2019,6/24/2021,6/22/2017,6/22/2021,Calvert,193,9,38,M-F,6:00 - 6:00,Accredited Program,,accredited_program,8-May-08
The Goddard School - Lake in the Hills,,,,5dfaa4f0e79c695b3b30de29,Bridget Austen,4561 Princeton Lane,Lake in the Hills,IL,60156,US,dlakeinthehillsil@goddardschools.com,847-669-6390,goddardschool.com,9/11/2018,9/11/2020,9/12/2016,9/12/2020,McHenry,140,9,30,M-F,6:30 - 6:00,Accredited Program,,accredited_program,3-May-12
Westbury Methodist Day School,,,,5dfaa4f0e79c695b3b30de2a,Bridget Murphy-Hughes,5200 Willowbend Blvd.,Houston,TX,77096,US,bridget@westburyumc.org,713-723-0191,westburyumc.org,8/8/2017,8/8/2019,8/3/2018,8/3/2022,Harris,135,10,29,M-F,7:30 - 6:00,Accredited Program,,accredited_program,6-Oct-06
"Abby's Child Enrichment Center, Inc.",,,,5dfaa4f0e79c695b3b30de2b,Bridget Pracht,29 Churchill Drive,Fort Thomas,KY,41075,US,bridgetpracht@gmail.com,859-781-3442,www.abbysnky.com,4/28/2016,4/28/2018,7/16/2018,7/16/2022,Campbell,140,8,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,4-Apr-16
"Easter Seals Southwest Florida, Inc.",,,,5dfaa4f0e79c695b3b30de2c,Brittany Bryant,350 Braden Ave.,Sarasota,FL,34243,US,bbryant@easterseals-swfl.org,941-355-7637,,12/19/2017,12/19/2019,12/20/2018,12/20/2022,Manatee,159,5,17,M-F,7:15 - 5:30,Accredited Program,,accredited_program,19-Nov-15
Skipwith Academy at Hanover,,,,5dfaa4f1e79c695b3b30de2d,Brittany Nedervelt,304 Ashcake Road,Ashland,VA,23005,US,dir.hanover@skipwithacademy.com;hanover@minnieland.com,804-798-2886,www.minnieland.com,1/12/2015,1/12/2017,3/27/2018,3/27/2022,Hanover,177,12,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,13-Jan-15
Cadence Academy,,,,5dfaa4f1e79c695b3b30de2e,Brittany Pope,723 Ball St.,Grapevine,TX,76051,US,director.grapevine@cadence-academy.com;bdrano13@hotmail.com,817-329-1234,peanutgallerychildcare.com,12/29/2015,12/29/2017,8/8/2018,8/8/2022,Tarrant,175,9,18,M-F,6:30-6:30,Accredited Program,,accredited_program,20-Sep-11
KinderCare Learning Center #000757,,,,5dfaa4f1e79c695b3b30de2f,Brittany St. Peter,2350 Bode Road,Schaumburg,IL,60194,US,000757@klcorp.com,847-884-0810,www.kindercare.com/,7/13/2017,7/13/2019,6/25/2019,6/25/2023,Cook,145,8,20,M-F,6:30 - 6:00,Accredited Program,,accredited_program,29-Apr-09
Young Sprouts Creative Learning Center,,,,5dfaa4f1e79c695b3b30de30,Brittney Luther and Dana Dyck,1116 Southeast Pkwy.,Azle,TX,76020,US,brittney@youngsproutsclc.com,817-752-2300,www.youngsproutsclc.com,12/14/2016,12/14/2018,8/6/2018,8/6/2022,Tarrant,139,9,21,M-F,6:00 - 6:30,Accredited Program,,accredited_program,14-Dec-16
R'Club Early Learning Academy,,,,5dfaa4f1e79c695b3b30de31,Brooke Gant-Chappell,12420 Telecom Drive,Tampa,FL,33637,US,ela-telecom@rclub.net,813-979-0002,rclub.net/,10/5/2017,10/5/2019,12/20/2019,12/20/2023,Hillsborough,135,5,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,20-Oct-09
KinderCare Learning Center #300842,,,,5dfaa4f1e79c695b3b30de32,Brooklyn Thomas,110 Royal St.,Bryan,TX,77801,US,300842@klcorp.com,979-846-4503,www.kindercare.com/,12/1/2016,12/1/2018,5/20/2019,5/20/2023,Brazos,156,8,19,M-F,6:30 - 6:00,Accredited Program,,accredited_program,
Kids University Learning Center,,,,5dfaa4f1e79c695b3b30de34,Camille Penny,639 W. Wintergreen Road,Lancaster,TX,75134,US,gokidu@yahoo.com,972-218-0808,www.cvccministries.com,12/6/2019,12/6/2021,12/14/2017,12/14/2021,Dallas,182,7,20,M-F,6:00 - 6:00,Accredited Program,,accredited_program,13-Nov-14
KinderCare Learning Center #300422,,,,5dfaa4f1e79c695b3b30de35,Candace McMullen,10991 Hamilton Ave.,Cincinnati,OH,45231,US,300422@kindercare.com;cmcmullen@klcorp.com,513-742-0565,www.kindercare.com/,12/9/2019,12/9/2021,12/4/2017,12/4/2021,Hamilton,137,5,16,M-F,6:00 - 6:00,Accredited Program,,accredited_program,15-Oct-09
West U Methodist School,,,,5dfaa4f1e79c695b3b30de36,Cara Bevill,3611 University Boulevard,Houston,TX,77005,US,cbevill70@gmail.com,713-664-8111,westumethodist.org,2/13/2018,2/13/2020,2/10/2016,2/10/2020,Harris,225,12,35,M-F,9:00 - 2:00,Accredited Program,,accredited_program,26-Feb-08
First Baptist Church Temple Terrace WEE World,,,,5dfaa4f1e79c695b3b30de37,Carol Grabill,10002 N. 56th St.,Tampa,FL,33617,US,jgrabill@missionhillchurch.com,813-980-0090,,10/8/2018,10/8/2020,10/24/2016,10/24/2020,Hillsborough,100,6,18,M-F,8:30 - 12:30,Accredited Program,,accredited_program,11-Aug-08
KinderCare Learning Center #000815,,,,5dfaa4f1e79c695b3b30de38,Carol Manson,8295 Taylor Road,Reynoldsburg,OH,43068,US,000815@kindercare.com,614-868-5267,www.kindercare.com/,1/12/2017,1/12/2019,11/7/2018,11/7/2022,Licking,99,5,15,M-F,6:00 - 6:00,Accredited Program,,accredited_program,20-Feb-08
KinderCare Learning Center #301275,,,,5dfaa4f1e79c695b3b30de39,Carolann Hill,300 W. Kensington Road,Mount Prospect,IL,60056,US,301275@klcorp.com,847-255-1585,www.kindercare.com/,4/7/2017,4/7/2019,3/5/2019,3/5/2023,Cook,129,7,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,11-May-10
Living Hope Montessori,,,,5dfaa4f1e79c695b3b30de3a,Carolann Hoban,515 Foster Road,Las Cruces,NM,88001,US,carolannhoban984@msn.com,575-527-8429,livinghopemontessori.com,5/7/2018,5/7/2020,5/2/2016,5/2/2020,Dona Ana,73,5,17,M-F,7:30-6:00,Accredited Program,,accredited_program,24-Apr-08
Deerwood Academy Town Center,,,,5dfaa4f1e79c695b3b30de3b,Carolina Jaramillo,7575 Centurion Pkwy.,Jacksonville,FL,32256,US,carolina@deerwoodacademy.com,904-807-9550,www.deerwoodacademy.com,12/12/2017,12/12/2019,8/16/2019,8/16/2023,Duval,242,12,38,M-F,7:00 - 6:00,Accredited Program,,accredited_program,24-Jul-06
